Number of Rare Candy,Count of Good Hands and Prize Piles,Number of Runs,Probabilities of Good Starting Hands and Prize Piles
1,9656,100000,9.66%
2,18212,100000,18.21%
3,26264,100000,26.26%
4,33510,100000,33.51%
